2017-Jun-24 06:53:34.220908 Starting Circus
2017-Jun-24 06:53:34.223910 Initializing database
2017-Jun-24 06:53:34.225912 Ensuring database ../Data/capublic.db exists
2017-Jun-24 06:53:34.229916 	capublic_bill_tbl creation
2017-Jun-24 07:45:14.741306 201720180SB141 is OK.
2017-Jun-24 07:45:14.808352 201720180SB142 is OK.
2017-Jun-24 07:45:14.881404 201720180SB143 is OK.
2017-Jun-24 07:45:14.999487 201720180SB144 is OK.
2017-Jun-24 07:45:15.083547 201720180SB146 is OK.
2017-Jun-24 07:45:15.172610 201720180SB147 is OK.
2017-Jun-24 07:45:15.249682 201720180SB145 is OK.
2017-Jun-24 07:45:15.324735 201720180SB148 is OK.
2017-Jun-24 07:45:15.416802 201720180ACR6 is OK.
2017-Jun-24 07:45:15.499858 201720180SR13 is OK.
2017-Jun-24 07:45:15.574894 201720180SB10 is OK.
2017-Jun-24 07:45:15.674966 201720180AB167 is OK.
2017-Jun-24 07:45:15.795063 201720180AB169 is OK.
2017-Jun-24 07:45:15.912133 201720180AB170 is OK.
2017-Jun-24 07:45:15.985184 201720180AB171 is OK.
2017-Jun-24 07:45:16.058237 201720180AB173 is OK.
2017-Jun-24 07:45:16.128286 201720180AB174 is OK.
2017-Jun-24 07:45:16.208342 201720180HR7 is OK.
2017-Jun-24 07:45:16.275390 201720180HR5 is OK.
2017-Jun-24 07:45:16.344438 201720180AB68 is OK.
2017-Jun-24 07:45:16.458520 201720180AB67 is OK.
2017-Jun-24 07:45:16.555588 201720180SCR4 is OK.
2017-Jun-24 07:45:16.647670 201720180SB64 is OK.
2017-Jun-24 07:45:16.742722 201720180SB151 is OK.
2017-Jun-24 07:45:16.816774 201720180SR9 is OK.
2017-Jun-24 07:45:16.901833 201720180SB62 is OK.
2017-Jun-24 07:45:16.985892 201720180SB63 is OK.
2017-Jun-24 07:45:17.066951 201720180SB152 is OK.
2017-Jun-24 07:45:17.143005 201720180SB153 is OK.
2017-Jun-24 07:45:17.217057 201720180SB154 is OK.
2017-Jun-24 07:45:17.309121 201720180SB155 is OK.
2017-Jun-24 07:45:17.377169 201720180SB156 is OK.
2017-Jun-24 07:45:17.449234 201720180ACR5 is OK.
2017-Jun-24 07:45:17.569305 201720180SB157 is OK.
2017-Jun-24 07:45:17.684387 201720180SCA2 is OK.
2017-Jun-24 07:45:17.752434 201720180AB215 is OK.
2017-Jun-24 07:45:17.825486 201720180AB216 is OK.
2017-Jun-24 07:45:17.959581 201720180AB94 is OK.
2017-Jun-24 07:45:18.083668 201720180AB217 is OK.
2017-Jun-24 07:45:18.158721 201720180AB226 is OK.
2017-Jun-24 07:45:18.250803 201720180AB225 is OK.
2017-Jun-24 07:45:18.361865 201720180AB227 is OK.
2017-Jun-24 07:45:18.433916 201720180AB1169 is OK.
2017-Jun-24 07:45:18.508970 201720180AB1175 is OK.
2017-Jun-24 07:45:18.593029 201720180AB230 is OK.
2017-Jun-24 07:45:18.701106 201720180AB231 is OK.
2017-Jun-24 07:45:18.778159 201720180AB232 is OK.
2017-Jun-24 07:45:18.850211 201720180AB233 is OK.
2017-Jun-24 07:45:18.902248 201720180AB1177 is OK.
2017-Jun-24 07:45:18.976300 201720180AB272 is OK.
2017-Jun-24 07:45:19.050353 201720180SB218 is OK.
2017-Jun-24 07:45:19.125406 201720180AB274 is OK.
2017-Jun-24 07:45:19.226478 201720180SB219 is OK.
2017-Jun-24 07:45:19.321704 201720180AB275 is OK.
2017-Jun-24 07:45:19.429304 201720180SR17 is OK.
2017-Jun-24 07:45:19.516754 201720180AB276 is OK.
2017-Jun-24 07:45:19.643478 201720180AB277 is OK.
2017-Jun-24 07:45:19.725586 201720180SB205 is OK.
2017-Jun-24 07:45:19.792618 201720180AB267 is OK.
2017-Jun-24 07:45:19.864667 201720180AB268 is OK.
2017-Jun-24 07:45:19.931732 201720180AB269 is OK.
